genre,gross,rate,runtime,title,vote,yr,titleClean,cleanTitleSpot
"Action, Adventure, Fantasy",$678.82M,8.6,149 min,Avengers: Infinity War,495142,2018,Avengers: Infinity War,Avengers Infinity War
"Action, Crime, Drama",$50.07M,7.2,122 min,Sicario: Day of the Soldado,48421,2018,Sicario: Day of the Soldado,Sicario Day of the Soldado
"Comedy, Romance",$166.46M,7.5,120 min,Crazy Rich Asians,28768,2018,Crazy Rich Asians,Crazy Rich Asians
"Action, Adventure, Thriller",$219.33M,8.0,147 min,Mission: Impossible - Fallout,137524,2018,Mission: Impossible - Fallout,Mission Impossible  Fallout
"Action, Adventure, Comedy",$318.49M,7.9,119 min,Deadpool 2,273833,2018,Deadpool 2,Deadpool 2
"Adventure, Drama, Fantasy",$63.86M,7.4,123 min,The Shape of Water,253401,2017,The Shape of Water,The Shape of Water
"Biography, Drama, Musical",$174.34M,7.7,105 min,The Greatest Showman,156193,2017,The Greatest Showman,The Greatest Showman
"Drama, Horror, Mystery",$44.07M,7.3,127 min,Hereditary,87555,2018,Hereditary,Hereditary
"Biography, Comedy, Crime",$47.93M,7.8,135 min,BlacKkKlansman,34117,2018,BlacKkKlansman,BlacKkKlansman
"Action, Adventure, Sci-Fi",$700.06M,7.4,134 min,Black Panther,395476,2018,Black Panther,Black Panther
"Action, Comedy, Fantasy",$31.49M,7.5,112 min,Scott Pilgrim vs. the World,323730,2010,Scott Pilgrim vs. the World,Scott Pilgrim vs the World
"Comedy, Musical, Romance",$120.50M,7.2,114 min,Mamma Mia! Here We Go Again,33148,2018,Mamma Mia! Here We Go Again,Mamma Mia Here We Go Again
"Action, Crime, Thriller",$102.08M,7.0,121 min,The Equalizer 2,27335,2018,The Equalizer 2,The Equalizer 2
"Drama, Romance",None,7.4,99 min,To All the Boys I've Loved Before,37438,2018,To All the Boys I've Loved Before,To All the Boys Ive Loved Before
"Action, Adventure, Sci-Fi",$216.20M,7.3,118 min,Ant-Man and the Wasp,103498,2018,Ant-Man and the Wasp,AntMan and the Wasp
"Action, Horror, Sci-Fi",$11.87M,7.6,100 min,Upgrade,56848,2018,Upgrade,Upgrade
"Action, Adventure, Sci-Fi",$137.02M,7.6,140 min,Ready Player One,226540,2018,Ready Player One,Ready Player One
"Drama, Horror, Thriller",$327.48M,7.4,135 min,It,308591,2017,It,It
"Drama, Horror, Sci-Fi",$188.02M,7.7,90 min,A Quiet Place,213750,2018,A Quiet Place,A Quiet Place
"Action, Adventure, Comedy",$315.06M,7.9,130 min,Thor: Ragnarok,390130,2017,Thor: Ragnarok,Thor Ragnarok
"Drama, Mystery, Sci-Fi",$92.05M,8.1,164 min,Blade Runner 2049,333664,2017,Blade Runner 2049,Blade Runner 2049
"Action, Crime, Drama",$46.89M,7.6,121 min,Sicario,306254,2015,Sicario,Sicario
"Action, Adventure, Sci-Fi",$334.20M,7.5,133 min,Spider-Man: Homecoming,360336,2017,Spider-Man: Homecoming,SpiderMan Homecoming
Drama,$28.34M,9.3,142 min,The Shawshank Redemption,2000933,1994,The Shawshank Redemption,The Shawshank Redemption
"Action, Adventure, Sci-Fi",$155.44M,7.0,144 min,X-Men: Apocalypse,330917,2016,X-Men: Apocalypse,XMen Apocalypse
"Action, Sci-Fi, Thriller",$59.74M,7.8,107 min,Predator,333467,1987,Predator,Predator
"Action, Adventure, Drama",$29.82M,7.2,134 min,Hostiles,39889,2017,Hostiles,Hostiles
"Action, Crime, Drama",$534.86M,9.0,152 min,The Dark Knight,1970107,2008,The Dark Knight,The Dark Knight
"Horror, Thriller",$47.00M,7.8,91 min,Halloween,186376,1978,Halloween,Halloween
"Action, Adventure, Fantasy",$620.18M,7.2,152 min,Star Wars: Episode VIII - The Last Jedi,417601,2017,Star Wars: Episode VIII - The Last Jedi,Star Wars   The Last Jedi
"Action, Adventure, Comedy",$404.52M,7.0,119 min,Jumanji: Welcome to the Jungle,206932,2017,Jumanji: Welcome to the Jungle,Jumanji Welcome to the Jungle
"Adventure, Family, Fantasy",$234.04M,7.4,133 min,Fantastic Beasts and Where to Find Them,317290,2016,Fantastic Beasts and Where to Find Them,Fantastic Beasts and Where to Find Them
"Animation, Adventure, Comedy",$209.73M,8.4,105 min,Coco,220852,2017,Coco,Coco
"Crime, Drama",$134.97M,9.2,175 min,The Godfather,1370803,1972,The Godfather,The Godfather
Comedy,$7.99M,7.7,102 min,Dazed and Confused,142253,1993,Dazed and Confused,Dazed and Confused
"Comedy, Crime, Drama",$54.51M,8.2,115 min,"Three Billboards Outside Ebbing, Missouri",281512,2017,"Three Billboards Outside Ebbing, Missouri",Three Billboards Outside Ebbing Missouri
"Action, Adventure, Comedy",$333.18M,8.1,121 min,Guardians of the Galaxy,876419,2014,Guardians of the Galaxy,Guardians of the Galaxy
"Action, Adventure, Comedy",$363.07M,8.0,108 min,Deadpool,765304,2016,Deadpool,Deadpool
"Adventure, Sci-Fi, Thriller",$402.45M,8.1,127 min,Jurassic Park,747002,1993,Jurassic Park,Jurassic Park
"Comedy, Drama",$45.88M,7.9,97 min,The Breakfast Club,304782,1985,The Breakfast Club,The Breakfast Club
"Horror, Mystery, Thriller",$137.40M,7.5,112 min,The Conjuring,371931,2013,The Conjuring,The Conjuring
"Adventure, Drama, Sci-Fi",$188.02M,8.6,169 min,Interstellar,1213954,2014,Interstellar,Interstellar
"Action, Comedy, Crime",$69.00M,7.0,100 min,Game Night,117952,2018,Game Night,Game Night
"Drama, Romance",$18.10M,8.0,132 min,Call Me by Your Name,126516,2017,Call Me by Your Name,Call Me by Your Name
"Action, Adventure, Comedy",$389.81M,7.7,136 min,Guardians of the Galaxy Vol. 2,413326,2017,Guardians of the Galaxy Vol. 2,Guardians of the Galaxy 
"Crime, Drama",$107.93M,8.9,154 min,Pulp Fiction,1562206,1994,Pulp Fiction,Pulp Fiction
"Horror, Mystery, Thriller",$176.04M,7.7,104 min,Get Out,334542,2017,Get Out,Get Out
"Drama, Romance",$659.33M,7.8,194 min,Titanic,911485,1997,Titanic,Titanic
"Action, Adventure, Fantasy",$412.56M,7.5,141 min,Wonder Woman,438440,2017,Wonder Woman,Wonder Woman
