genre,gross,rate,runtime,title,vote,yr
"Action, Adventure, Fantasy",$678.82M,8.6,149 min,Avengers: Infinity War,495142,2018
"Action, Crime, Drama",$50.07M,7.2,122 min,Sicario: Day of the Soldado,48421,2018
"Comedy, Romance",$166.46M,7.5,120 min,Crazy Rich Asians,28768,2018
"Action, Adventure, Thriller",$219.33M,8.0,147 min,Mission: Impossible - Fallout,137524,2018
"Action, Adventure, Comedy",$318.49M,7.9,119 min,Deadpool 2,273833,2018
"Adventure, Drama, Fantasy",$63.86M,7.4,123 min,The Shape of Water,253401,2017
"Biography, Drama, Musical",$174.34M,7.7,105 min,The Greatest Showman,156193,2017
"Drama, Horror, Mystery",$44.07M,7.3,127 min,Hereditary,87555,2018
"Biography, Comedy, Crime",$47.93M,7.8,135 min,BlacKkKlansman,34117,2018
"Action, Adventure, Sci-Fi",$700.06M,7.4,134 min,Black Panther,395476,2018
"Action, Comedy, Fantasy",$31.49M,7.5,112 min,Scott Pilgrim vs. the World,323730,2010
"Comedy, Musical, Romance",$120.50M,7.2,114 min,Mamma Mia! Here We Go Again,33148,2018
"Action, Crime, Thriller",$102.08M,7.0,121 min,The Equalizer 2,27335,2018
"Drama, Romance",None,7.4,99 min,To All the Boys I've Loved Before,37438,2018
"Action, Adventure, Sci-Fi",$216.20M,7.3,118 min,Ant-Man and the Wasp,103498,2018
"Action, Horror, Sci-Fi",$11.87M,7.6,100 min,Upgrade,56848,2018
"Action, Adventure, Sci-Fi",$137.02M,7.6,140 min,Ready Player One,226540,2018
"Drama, Horror, Thriller",$327.48M,7.4,135 min,It,308591,2017
"Drama, Horror, Sci-Fi",$188.02M,7.7,90 min,A Quiet Place,213750,2018
"Action, Adventure, Comedy",$315.06M,7.9,130 min,Thor: Ragnarok,390130,2017
"Drama, Mystery, Sci-Fi",$92.05M,8.1,164 min,Blade Runner 2049,333664,2017
"Action, Crime, Drama",$46.89M,7.6,121 min,Sicario,306254,2015
"Action, Adventure, Sci-Fi",$334.20M,7.5,133 min,Spider-Man: Homecoming,360336,2017
Drama,$28.34M,9.3,142 min,The Shawshank Redemption,2000933,1994
"Action, Adventure, Sci-Fi",$155.44M,7.0,144 min,X-Men: Apocalypse,330917,2016
"Action, Sci-Fi, Thriller",$59.74M,7.8,107 min,Predator,333467,1987
"Action, Adventure, Drama",$29.82M,7.2,134 min,Hostiles,39889,2017
"Action, Crime, Drama",$534.86M,9.0,152 min,The Dark Knight,1970107,2008
"Horror, Thriller",$47.00M,7.8,91 min,Halloween,186376,1978
"Action, Adventure, Fantasy",$620.18M,7.2,152 min,Star Wars: Episode VIII - The Last Jedi,417601,2017
"Action, Adventure, Comedy",$404.52M,7.0,119 min,Jumanji: Welcome to the Jungle,206932,2017
"Adventure, Family, Fantasy",$234.04M,7.4,133 min,Fantastic Beasts and Where to Find Them,317290,2016
"Animation, Adventure, Comedy",$209.73M,8.4,105 min,Coco,220852,2017
"Crime, Drama",$134.97M,9.2,175 min,The Godfather,1370803,1972
Comedy,$7.99M,7.7,102 min,Dazed and Confused,142253,1993
"Comedy, Crime, Drama",$54.51M,8.2,115 min,"Three Billboards Outside Ebbing, Missouri",281512,2017
"Action, Adventure, Comedy",$333.18M,8.1,121 min,Guardians of the Galaxy,876419,2014
"Action, Adventure, Comedy",$363.07M,8.0,108 min,Deadpool,765304,2016
"Adventure, Sci-Fi, Thriller",$402.45M,8.1,127 min,Jurassic Park,747002,1993
"Comedy, Drama",$45.88M,7.9,97 min,The Breakfast Club,304782,1985
"Horror, Mystery, Thriller",$137.40M,7.5,112 min,The Conjuring,371931,2013
"Adventure, Drama, Sci-Fi",$188.02M,8.6,169 min,Interstellar,1213954,2014
"Action, Comedy, Crime",$69.00M,7.0,100 min,Game Night,117952,2018
"Drama, Romance",$18.10M,8.0,132 min,Call Me by Your Name,126516,2017
"Action, Adventure, Comedy",$389.81M,7.7,136 min,Guardians of the Galaxy Vol. 2,413326,2017
"Crime, Drama",$107.93M,8.9,154 min,Pulp Fiction,1562206,1994
"Horror, Mystery, Thriller",$176.04M,7.7,104 min,Get Out,334542,2017
"Drama, Romance",$659.33M,7.8,194 min,Titanic,911485,1997
"Action, Adventure, Fantasy",$412.56M,7.5,141 min,Wonder Woman,438440,2017
"Action, Adventure, Sci-Fi",$292.58M,8.8,148 min,Inception,1750715,2010
"Action, Drama, Sci-Fi",$226.28M,8.1,137 min,Logan,511093,2017
"Action, Crime, Drama",$107.83M,7.6,112 min,Baby Driver,326291,2017
"Drama, Family",$132.42M,8.0,113 min,Wonder,89008,2017
"Horror, Mystery, Thriller",$102.47M,7.4,134 min,The Conjuring 2,177196,2016
"Biography, Comedy, Crime",$116.90M,8.2,180 min,The Wolf of Wall Street,977113,2013
"Action, Adventure, Sci-Fi",$459.01M,7.4,141 min,Avengers: Age of Ultron,606397,2015
"Action, Adventure, Drama",$187.71M,8.5,155 min,Gladiator,1156323,2000
"Action, Drama, History",$188.37M,8.0,106 min,Dunkirk,420769,2017
"Drama, Sport",$109.77M,7.6,133 min,Creed,201981,2015
"Adventure, Drama, War",$120.54M,8.3,153 min,Inglourious Basterds,1066545,2009
"Adventure, Drama, Fantasy",$315.54M,8.8,178 min,The Lord of the Rings: The Fellowship of the Ring,1441612,2001
"Adventure, Comedy, Family",$61.50M,7.8,114 min,The Goonies,207600,1985
"Horror, Thriller",$138.29M,7.3,117 min,Split,286162,X) (2016
"Action, Adventure, Sci-Fi",$403.71M,7.3,121 min,Spider-Man,617131,2002
Comedy,$0.20M,7.6,109 min,Animal House,101805,1978
"Drama, Thriller",$14.68M,8.2,118 min,Room,288436,2015
"Crime, Drama, Mystery",$167.77M,8.1,149 min,Gone Girl,721601,2014
"Action, Adventure, Sci-Fi",$652.27M,7.0,124 min,Jurassic World,515098,2015
"Action, Adventure, Fantasy",$232.64M,7.5,115 min,Doctor Strange,450795,2016
"Drama, Romance, Sci-Fi",$25.57M,8.0,126 min,Her,441212,2013
"Animation, Adventure, Comedy",$248.76M,7.6,107 min,Moana,203111,2016
"Action, Adventure, Sci-Fi",$153.64M,8.1,120 min,Mad Max: Fury Road,736489,2015
"Crime, Drama",$46.84M,8.7,146 min,Goodfellas,862391,1990
"Action, Adventure, Sci-Fi",$408.08M,7.8,147 min,Captain America: Civil War,524829,2016
"Drama, Romance",$330.25M,8.8,142 min,Forrest Gump,1522731,1994
"Action, Adventure, Sci-Fi",$623.36M,8.1,143 min,The Avengers,1126719,2012
"Drama, Horror",$44.02M,8.4,146 min,The Shining,739537,1980
"Action, Crime, Drama",$44.95M,7.0,140 min,Den of Thieves,52635,2018
